Date,Close/Last,Volume,Open,High,Low
05/03/2023,$3.49,110,$3.49,$3.49,$3.49
05/02/2023,$3.56,150,$3.56,$3.56,$3.56
05/01/2023,$3.5205,3031,$3.51,$3.5205,$3.51
04/28/2023,$3.59,135,$3.59,$3.59,$3.59
04/27/2023,$3.81,N/A,$3.81,$3.81,$3.81
04/26/2023,$3.81,N/A,$3.81,$3.81,$3.81
04/25/2023,$3.81,17879,$3.81,$3.81,$3.81
04/24/2023,$3.975,N/A,$3.975,$3.975,$3.975
04/21/2023,$3.975,N/A,$3.975,$3.975,$3.975
04/20/2023,$3.975,N/A,$3.975,$3.975,$3.975
04/19/2023,$3.975,200,$3.975,$3.975,$3.975
04/18/2023,$3.90,9110,$3.90,$3.91,$3.85
04/17/2023,$3.78,907,$3.78,$3.78,$3.78
04/14/2023,$3.85,N/A,$3.85,$3.85,$3.85
04/13/2023,$3.85,N/A,$3.85,$3.85,$3.85
04/12/2023,$3.85,N/A,$3.85,$3.85,$3.85
04/11/2023,$3.85,1300,$3.85,$3.85,$3.85
04/10/2023,$3.915,N/A,$3.915,$3.915,$3.915
04/06/2023,$3.915,N/A,$3.915,$3.915,$3.915
04/05/2023,$3.915,N/A,$3.915,$3.915,$3.915
04/04/2023,$3.915,1370,$3.915,$3.915,$3.915
04/03/2023,$3.91,100,$3.91,$3.91,$3.91
