Date,Close/Last,Volume,Open,High,Low
05/03/2023,$2058.12,279839,$2054.08,$2066.71,$2047.12
05/02/2023,$2053.96,294736,$2042.84,$2058.88,$2025.79
05/01/2023,$2039.28,503145,$2055.00,$2077.2899,$2037.11
04/28/2023,$2067.62,411018,$2031.13,$2071.00,$2026.09
04/27/2023,$2036.26,482760,$2025.90,$2038.00,$1996.115
04/26/2023,$2009.85,1630141,$1918.02,$2047.31,$1918.02
04/25/2023,$1780.00,454592,$1796.00,$1816.96,$1780.00
04/24/2023,$1796.97,261464,$1812.79,$1812.79,$1792.77
04/21/2023,$1800.00,304847,$1805.15,$1808.00,$1780.901
04/20/2023,$1798.40,287149,$1802.40,$1816.6999,$1792.41
04/19/2023,$1805.00,276725,$1785.72,$1809.66,$1779.87
04/18/2023,$1778.46,290535,$1783.00,$1798.02,$1775.36
04/17/2023,$1775.00,331268,$1748.00,$1775.2499,$1738.66
04/14/2023,$1738.30,222018,$1717.78,$1741.945,$1717.4541
04/13/2023,$1717.89,216300,$1712.43,$1725.00,$1706.14
04/12/2023,$1695.77,198953,$1730.00,$1733.225,$1693.90
04/11/2023,$1714.06,227598,$1693.88,$1724.49,$1693.88
04/10/2023,$1691.56,248975,$1675.00,$1691.59,$1664.715
04/06/2023,$1685.21,217770,$1687.26,$1695.36,$1670.03
04/05/2023,$1697.42,239035,$1731.00,$1731.00,$1695.345
04/04/2023,$1734.84,294898,$1729.00,$1742.9699,$1722.74
04/03/2023,$1717.73,245880,$1695.00,$1719.99,$1695.00
03/31/2023,$1708.29,286382,$1677.79,$1709.00,$1677.79
03/30/2023,$1672.17,215241,$1657.94,$1682.94,$1657.94
03/29/2023,$1656.72,177203,$1657.58,$1663.76,$1645.0282
03/28/2023,$1652.90,162209,$1644.72,$1656.10,$1633.71
03/27/2023,$1647.82,240627,$1628.90,$1662.59,$1628.90
03/24/2023,$1624.25,228413,$1636.01,$1640.71,$1609.125
03/23/2023,$1632.53,200619,$1637.00,$1661.00,$1620.41
03/22/2023,$1622.47,230649,$1624.43,$1661.44,$1620.02
03/21/2023,$1627.96,209765,$1617.12,$1629.44,$1614.43
03/20/2023,$1610.23,259490,$1604.80,$1615.00,$1592.30
03/17/2023,$1608.84,329683,$1624.59,$1631.25,$1593.61
03/16/2023,$1625.14,349609,$1598.01,$1637.73,$1592.86
03/15/2023,$1590.87,248658,$1583.50,$1594.93,$1569.00
03/14/2023,$1590.76,278066,$1586.99,$1599.00,$1576.10
03/13/2023,$1566.34,266381,$1537.37,$1582.61,$1537.08
03/10/2023,$1550.71,349319,$1554.31,$1582.9899,$1541.6561
03/09/2023,$1551.10,362676,$1536.33,$1578.375,$1536.255
03/08/2023,$1533.06,277685,$1510.00,$1536.53,$1502.25
03/07/2023,$1509.68,187266,$1504.46,$1525.64,$1502.17
03/06/2023,$1505.13,240857,$1520.00,$1528.33,$1500.53
03/03/2023,$1510.00,239274,$1500.00,$1514.10,$1494.07
03/02/2023,$1495.27,173180,$1475.00,$1502.58,$1470.05
03/01/2023,$1484.77,165393,$1483.00,$1498.04,$1478.56
02/28/2023,$1491.08,234437,$1491.56,$1504.35,$1485.0101
02/27/2023,$1494.75,277526,$1490.00,$1504.93,$1488.20
02/24/2023,$1476.73,383492,$1498.00,$1503.51,$1470.29
02/23/2023,$1522.49,312303,$1557.01,$1557.01,$1519.91
02/22/2023,$1552.38,250688,$1568.46,$1580.00,$1546.94
02/21/2023,$1569.26,272260,$1611.75,$1611.75,$1565.78
02/17/2023,$1617.67,228680,$1609.74,$1625.1851,$1602.60
02/16/2023,$1621.24,225595,$1642.46,$1653.68,$1620.375
02/15/2023,$1656.54,244292,$1650.00,$1664.24,$1636.90
02/14/2023,$1644.52,271268,$1612.55,$1651.22,$1602.4259
02/13/2023,$1614.31,334844,$1589.40,$1629.975,$1584.345
02/10/2023,$1583.89,365300,$1589.39,$1598.985,$1573.08
02/09/2023,$1606.91,432447,$1640.00,$1650.17,$1597.20
02/08/2023,$1637.41,705241,$1643.00,$1669.45,$1616.82
02/07/2023,$1722.86,649931,$1688.48,$1724.7118,$1680.0801
02/06/2023,$1700.28,305468,$1689.68,$1700.89,$1677.945
02/03/2023,$1692.97,305745,$1677.25,$1712.8799,$1670.00
02/02/2023,$1689.67,322959,$1675.10,$1703.6167,$1666.03
02/01/2023,$1652.56,278661,$1646.61,$1667.90,$1617.1501
01/31/2023,$1646.38,274695,$1616.77,$1648.965,$1609.9601
01/30/2023,$1609.86,277029,$1603.34,$1627.90,$1601.75
01/27/2023,$1613.78,251535,$1610.00,$1629.91,$1599.0862
01/26/2023,$1606.29,311483,$1583.07,$1618.29,$1580.00
01/25/2023,$1563.98,359963,$1563.08,$1578.14,$1548.58
