Date,Close/Last,Volume,Open,High,Low
05/03/2023,$59.00,1593,$60.00,$61.00,$59.00
05/02/2023,$60.00,129,$60.00,$60.00,$60.00
05/01/2023,$60.00,N/A,$60.00,$60.00,$60.00
04/28/2023,$60.00,N/A,$60.00,$60.00,$60.00
04/27/2023,$60.00,N/A,$60.00,$60.00,$60.00
04/26/2023,$60.00,391,$59.87,$60.00,$59.87
04/25/2023,$59.87,N/A,$59.87,$59.87,$59.87
04/24/2023,$59.87,102,$59.87,$59.87,$59.87
04/21/2023,$59.00,199,$59.00,$59.00,$59.00
04/20/2023,$57.95,N/A,$57.95,$57.95,$57.95
04/19/2023,$57.95,1178,$58.70,$58.70,$57.00
04/18/2023,$57.95,309,$56.66,$57.95,$56.66
04/17/2023,$58.10,1148,$57.50,$59.15,$57.50
04/14/2023,$56.86,511,$56.86,$56.86,$56.86
04/13/2023,$56.00,1607,$57.00,$57.61,$56.00
04/12/2023,$56.90,1563,$58.00,$58.00,$55.60
04/11/2023,$58.90,4625,$61.45,$61.45,$58.20
04/10/2023,$59.15,3580,$58.00,$61.90,$57.25
04/06/2023,$57.74,1390,$58.95,$60.40,$57.74
04/05/2023,$58.00,950,$57.01,$58.00,$56.95
04/04/2023,$56.40,3571,$56.40,$57.00,$55.30
04/03/2023,$56.05,1613,$58.00,$58.00,$56.05
03/31/2023,$55.50,10404,$57.60,$62.00,$54.95
03/30/2023,$56.00,8855,$57.70,$60.00,$55.35
03/29/2023,$56.50,8975,$55.40,$61.83,$54.80
03/28/2023,$56.50,23492,$54.16,$64.20,$54.16
03/27/2023,$55.21,100,$55.21,$55.21,$55.21
03/24/2023,$53.336,2345,$53.10,$54.44,$53.10
03/23/2023,$53.20,N/A,$53.20,$53.20,$53.20
03/22/2023,$53.20,804,$54.20,$54.20,$53.00
03/21/2023,$52.70,16333,$53.23,$54.20,$52.00
03/20/2023,$54.20,682,$54.32,$54.50,$53.80
03/17/2023,$54.50,391,$56.63,$56.63,$54.50
03/16/2023,$55.10,505,$54.65,$55.10,$54.65
03/15/2023,$55.10,4191,$54.50,$56.50,$54.20
03/14/2023,$55.15,307,$54.65,$55.15,$54.65
03/13/2023,$55.10,N/A,$55.10,$55.10,$55.10
03/10/2023,$55.10,2216,$54.50,$55.50,$54.30
03/09/2023,$54.80,N/A,$54.80,$54.80,$54.80
03/08/2023,$54.80,112,$54.80,$54.80,$54.80
03/07/2023,$53.62,100,$53.62,$53.62,$53.62
03/06/2023,$54.65,7368,$55.00,$62.70,$53.10
03/03/2023,$54.80,100,$54.80,$54.80,$54.80
03/02/2023,$55.50,400,$55.00,$55.50,$55.00
03/01/2023,$55.40,2100,$54.30,$55.90,$54.30
02/28/2023,$54.95,N/A,$54.95,$54.95,$54.95
02/27/2023,$54.95,1001,$55.15,$55.89,$54.65
02/24/2023,$56.75,150,$56.75,$56.75,$56.75
02/23/2023,$56.90,N/A,$56.90,$56.90,$56.90
02/22/2023,$56.90,1300,$54.99,$57.10,$54.99
02/21/2023,$56.00,N/A,$56.00,$56.00,$56.00
02/17/2023,$56.00,1474,$54.60,$57.73,$54.60
02/16/2023,$54.00,N/A,$54.00,$54.00,$54.00
02/15/2023,$54.00,352,$54.01,$54.01,$54.00
02/14/2023,$53.50,2650,$53.60,$53.60,$53.50
02/13/2023,$52.40,N/A,$52.40,$52.40,$52.40
02/10/2023,$52.40,N/A,$52.40,$52.40,$52.40
02/09/2023,$52.40,N/A,$52.40,$52.40,$52.40
02/08/2023,$52.40,N/A,$52.40,$52.40,$52.40
02/07/2023,$52.40,724,$58.00,$58.00,$52.40
02/06/2023,$56.00,N/A,$56.00,$56.00,$56.00
02/03/2023,$56.00,N/A,$56.00,$56.00,$56.00
02/02/2023,$56.00,1885,$52.70,$56.00,$52.70
02/01/2023,$53.00,N/A,$53.00,$53.00,$53.00
01/31/2023,$53.00,N/A,$53.00,$53.00,$53.00
01/30/2023,$53.00,276,$53.00,$53.00,$53.00
01/27/2023,$53.00,N/A,$53.00,$53.00,$53.00
01/26/2023,$53.00,N/A,$53.00,$53.00,$53.00
01/25/2023,$53.00,N/A,$53.00,$53.00,$53.00
01/24/2023,$53.00,N/A,$53.00,$53.00,$53.00
01/23/2023,$53.00,N/A,$53.00,$53.00,$53.00
01/20/2023,$53.00,1301,$51.13,$53.50,$51.13
01/19/2023,$54.00,N/A,$54.00,$54.00,$54.00
01/18/2023,$54.00,N/A,$54.00,$54.00,$54.00
01/17/2023,$54.00,N/A,$54.00,$54.00,$54.00
01/13/2023,$54.00,N/A,$54.00,$54.00,$54.00
01/12/2023,$54.00,N/A,$54.00,$54.00,$54.00
01/11/2023,$54.00,N/A,$54.00,$54.00,$54.00
01/10/2023,$54.00,N/A,$54.00,$54.00,$54.00
01/09/2023,$54.00,N/A,$54.00,$54.00,$54.00
01/06/2023,$54.00,N/A,$54.00,$54.00,$54.00
01/05/2023,$54.00,825,$53.985,$54.00,$53.985
01/04/2023,$56.64,N/A,$56.64,$56.64,$56.64
01/03/2023,$56.64,N/A,$56.64,$56.64,$56.64
12/30/2022,$56.64,N/A,$56.64,$56.64,$56.64
12/29/2022,$56.64,N/A,$56.64,$56.64,$56.64
12/28/2022,$56.64,4989,$52.00,$59.09,$52.00
12/27/2022,$54.47,2105,$53.95,$54.48,$52.60
12/23/2022,$53.00,N/A,$53.00,$53.00,$53.00
12/22/2022,$53.00,N/A,$53.00,$53.00,$53.00
12/21/2022,$53.00,600,$53.06,$53.06,$53.00
12/20/2022,$53.00,1924,$52.888,$53.01,$52.84
12/19/2022,$51.94,1391,$53.00,$53.50,$51.94
12/16/2022,$53.00,N/A,$53.00,$53.00,$53.00
12/15/2022,$53.00,N/A,$53.00,$53.00,$53.00
12/14/2022,$53.00,N/A,$53.00,$53.00,$53.00
12/13/2022,$53.00,N/A,$53.00,$53.00,$53.00
12/12/2022,$53.00,N/A,$53.00,$53.00,$53.00
12/09/2022,$53.00,N/A,$53.00,$53.00,$53.00
12/08/2022,$53.00,1460,$53.00,$53.00,$52.99
12/07/2022,$54.00,N/A,$54.00,$54.00,$54.00
12/06/2022,$54.00,N/A,$54.00,$54.00,$54.00
12/05/2022,$54.00,N/A,$54.00,$54.00,$54.00
12/02/2022,$54.00,521,$52.80,$54.00,$52.80
12/01/2022,$52.80,N/A,$52.80,$52.80,$52.80
11/30/2022,$52.80,210,$53.00,$53.00,$52.80
11/29/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/28/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/25/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/23/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/22/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/21/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/18/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/17/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/16/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/15/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/14/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/11/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/10/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/09/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/08/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/07/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/04/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/03/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/02/2022,$55.51,N/A,$55.51,$55.51,$55.51
11/01/2022,$55.51,N/A,$55.51,$55.51,$55.51
10/31/2022,$55.51,N/A,$55.51,$55.51,$55.51
10/28/2022,$55.51,N/A,$55.51,$55.51,$55.51
10/27/2022,$55.51,N/A,$55.51,$55.51,$55.51
10/26/2022,$55.51,N/A,$55.51,$55.51,$55.51
10/25/2022,$55.51,N/A,$55.51,$55.51,$55.51
10/24/2022,$55.51,N/A,$55.51,$55.51,$55.51
10/21/2022,$55.51,N/A,$55.51,$55.51,$55.51
10/20/2022,$55.51,593,$58.00,$58.00,$55.51
10/19/2022,$56.80,N/A,$56.80,$56.80,$56.80
10/18/2022,$56.80,N/A,$56.80,$56.80,$56.80
10/17/2022,$56.80,109,$56.80,$56.80,$56.80
10/14/2022,$58.80,N/A,$58.80,$58.80,$58.80
10/13/2022,$58.80,N/A,$58.80,$58.80,$58.80
10/12/2022,$58.80,N/A,$58.80,$58.80,$58.80
10/11/2022,$58.80,4594,$55.50,$61.50,$55.50
10/10/2022,$58.95,155,$58.95,$58.95,$58.95
10/07/2022,$59.50,502,$60.00,$60.00,$59.50
10/06/2022,$61.00,N/A,$61.00,$61.00,$61.00
10/05/2022,$61.00,N/A,$61.00,$61.00,$61.00
10/04/2022,$61.00,N/A,$61.00,$61.00,$61.00
10/03/2022,$61.00,N/A,$61.00,$61.00,$61.00
09/30/2022,$61.00,N/A,$61.00,$61.00,$61.00
09/29/2022,$61.00,N/A,$61.00,$61.00,$61.00
09/28/2022,$61.00,100,$61.00,$61.00,$61.00
09/27/2022,$62.67,N/A,$62.67,$62.67,$62.67
09/26/2022,$62.67,N/A,$62.67,$62.67,$62.67
09/23/2022,$62.67,N/A,$62.67,$62.67,$62.67
09/22/2022,$62.67,N/A,$62.67,$62.67,$62.67
09/21/2022,$62.67,N/A,$62.67,$62.67,$62.67
09/20/2022,$62.67,N/A,$62.67,$62.67,$62.67
09/19/2022,$62.67,N/A,$62.67,$62.67,$62.67
09/16/2022,$62.67,N/A,$62.67,$62.67,$62.67
09/15/2022,$62.67,N/A,$62.67,$62.67,$62.67
09/14/2022,$62.67,141,$62.67,$62.67,$62.67
09/13/2022,$63.15,N/A,$63.15,$63.15,$63.15
09/12/2022,$63.15,N/A,$63.15,$63.15,$63.15
09/09/2022,$63.15,N/A,$63.15,$63.15,$63.15
09/08/2022,$63.15,N/A,$63.15,$63.15,$63.15
09/07/2022,$63.15,N/A,$63.15,$63.15,$63.15
09/06/2022,$63.15,N/A,$63.15,$63.15,$63.15
09/02/2022,$63.15,N/A,$63.15,$63.15,$63.15
09/01/2022,$63.15,N/A,$63.15,$63.15,$63.15
08/31/2022,$63.15,N/A,$63.15,$63.15,$63.15
08/30/2022,$63.15,N/A,$63.15,$63.15,$63.15
08/29/2022,$63.15,100,$63.15,$63.15,$63.15
08/26/2022,$65.00,N/A,$65.00,$65.00,$65.00
08/25/2022,$65.00,1701,$62.40,$65.00,$62.40
08/24/2022,$64.24,N/A,$64.24,$64.24,$64.24
08/23/2022,$64.24,1011,$64.78,$64.78,$62.99
08/22/2022,$63.00,N/A,$63.00,$63.00,$63.00
08/19/2022,$63.00,180,$63.00,$63.00,$63.00
08/18/2022,$63.66,N/A,$63.66,$63.66,$63.66
08/17/2022,$63.66,N/A,$63.66,$63.66,$63.66
08/16/2022,$63.66,N/A,$63.66,$63.66,$63.66
08/15/2022,$63.66,114,$63.66,$63.66,$63.66
08/12/2022,$65.25,N/A,$65.25,$65.25,$65.25
08/11/2022,$65.25,101,$65.25,$65.25,$65.25
08/10/2022,$65.50,6004,$61.37,$67.00,$61.30
08/09/2022,$61.75,N/A,$61.75,$61.75,$61.75
08/08/2022,$61.75,104,$61.75,$61.75,$61.75
08/05/2022,$61.30,N/A,$61.30,$61.30,$61.30
08/04/2022,$61.30,254,$61.30,$61.30,$61.30
08/03/2022,$61.84,225,$61.85,$61.85,$61.84
08/02/2022,$62.50,361,$62.50,$62.50,$62.50
08/01/2022,$61.49,N/A,$61.49,$61.49,$61.49
07/29/2022,$61.49,N/A,$61.49,$61.49,$61.49
07/28/2022,$61.49,102,$61.49,$61.49,$61.49
07/27/2022,$61.25,N/A,$61.25,$61.25,$61.25
07/26/2022,$61.25,N/A,$61.25,$61.25,$61.25
07/25/2022,$61.25,107,$61.25,$61.25,$61.25
07/22/2022,$61.54,N/A,$61.54,$61.54,$61.54
07/21/2022,$61.54,3251,$61.52,$63.98,$61.40
07/20/2022,$61.00,2455,$62.42,$62.73,$61.00
07/19/2022,$63.00,1906,$61.85,$63.30,$61.51
07/18/2022,$63.45,222,$64.90,$64.90,$63.45
07/15/2022,$62.25,5908,$61.59,$62.25,$60.50
07/14/2022,$60.60,1611,$61.05,$61.05,$60.40
07/13/2022,$61.20,1978,$60.76,$62.60,$60.75
07/12/2022,$60.81,13041,$61.05,$63.95,$60.40
07/11/2022,$61.70,5401,$61.24,$64.25,$61.20
07/08/2022,$60.50,1737,$60.50,$62.40,$60.13
07/07/2022,$60.26,5201,$60.70,$61.70,$60.10
07/06/2022,$60.15,2348,$61.95,$61.95,$60.05
07/05/2022,$61.40,7968,$59.91,$64.80,$59.87
07/01/2022,$59.95,2247,$60.48,$60.62,$59.95
06/30/2022,$59.78,N/A,$59.78,$59.78,$59.78
06/29/2022,$59.78,370,$59.53,$60.67,$59.53
06/28/2022,$60.00,826,$60.75,$61.11,$60.00
06/27/2022,$60.51,7184,$59.88,$66.50,$59.58
