Date,Close/Last,Volume,Open,High,Low
05/03/2023,$12.36,364214,$12.42,$12.46,$12.275
05/02/2023,$12.36,350118,$12.37,$12.45,$12.13
05/01/2023,$12.45,459636,$12.32,$12.58,$12.32
04/28/2023,$12.32,294541,$12.33,$12.36,$12.1811
04/27/2023,$12.41,327142,$12.26,$12.46,$12.145
04/26/2023,$12.23,379252,$12.19,$12.285,$12.14
04/25/2023,$12.25,427940,$12.62,$12.62,$12.175
04/24/2023,$12.64,376978,$12.86,$12.86,$12.52
04/21/2023,$12.92,581964,$12.68,$12.9687,$12.32
04/20/2023,$12.62,1001997,$12.68,$12.97,$12.50
04/19/2023,$12.67,1160709,$12.22,$12.695,$12.11
04/18/2023,$12.25,515754,$12.20,$12.30,$12.12
04/17/2023,$12.20,414479,$12.11,$12.255,$12.05
04/14/2023,$12.10,321407,$12.20,$12.20,$12.09
04/13/2023,$12.22,335838,$12.02,$12.31,$12.02
04/12/2023,$12.00,203185,$12.00,$12.065,$11.965
04/11/2023,$11.97,274664,$11.89,$12.05,$11.7803
04/10/2023,$11.88,194060,$11.76,$11.89,$11.71
04/06/2023,$11.79,211521,$11.79,$11.88,$11.73
04/05/2023,$11.81,283841,$11.80,$11.83,$11.64
04/04/2023,$11.84,351435,$12.15,$12.15,$11.815
04/03/2023,$12.16,396725,$11.80,$12.205,$11.80
03/31/2023,$11.74,359671,$11.74,$11.83,$11.68
03/30/2023,$11.72,304838,$11.65,$11.86,$11.62
03/29/2023,$11.67,309749,$11.66,$11.74,$11.5993
03/28/2023,$11.61,210444,$11.58,$11.69,$11.555
03/27/2023,$11.59,369963,$11.48,$11.72,$11.4285
03/24/2023,$11.38,281736,$11.34,$11.39,$11.22
03/23/2023,$11.43,210150,$11.56,$11.56,$11.31
03/22/2023,$11.53,256410,$11.50,$11.64,$11.50
03/21/2023,$11.47,193204,$11.49,$11.63,$11.4201
03/20/2023,$11.34,229207,$11.42,$11.50,$11.31
03/17/2023,$11.34,911693,$11.51,$11.58,$11.31
03/16/2023,$11.63,241353,$11.75,$11.75,$11.545
03/15/2023,$11.79,520874,$11.66,$11.80,$11.50
03/14/2023,$11.72,337670,$11.93,$12.00,$11.675
03/13/2023,$11.76,495694,$11.76,$12.02,$11.75
03/10/2023,$11.98,491296,$12.18,$12.24,$11.81
03/09/2023,$12.21,429504,$11.91,$12.335,$11.91
03/08/2023,$11.89,308103,$11.75,$11.9595,$11.75
03/07/2023,$11.83,757019,$12.10,$12.24,$11.455
03/06/2023,$12.09,560328,$12.29,$12.3001,$12.0025
03/03/2023,$12.29,633926,$12.09,$12.31,$11.9701
03/02/2023,$12.08,371966,$11.82,$12.15,$11.81
03/01/2023,$11.88,335527,$11.70,$12.00,$11.70
02/28/2023,$11.73,364143,$11.90,$11.93,$11.66
02/27/2023,$11.91,359198,$11.92,$11.98,$11.85
02/24/2023,$11.86,422658,$11.70,$11.9299,$11.56
02/23/2023,$11.82,631249,$11.72,$11.98,$11.6132
02/22/2023,$11.65,601510,$11.30,$11.7399,$11.2914
02/21/2023,$11.33,243139,$11.37,$11.44,$11.26
02/17/2023,$11.45,238997,$11.43,$11.5758,$11.39
02/16/2023,$11.40,348303,$11.32,$11.53,$11.20
02/15/2023,$11.34,517943,$11.25,$11.43,$11.23
02/14/2023,$11.25,173919,$11.15,$11.30,$11.101
02/13/2023,$11.20,327917,$11.15,$11.33,$11.095
02/10/2023,$11.15,207565,$11.11,$11.265,$11.00
02/09/2023,$11.17,492448,$11.37,$11.42,$11.16
02/08/2023,$11.34,493916,$11.50,$11.5262,$11.27
02/07/2023,$11.54,353997,$11.47,$11.60,$11.39
02/06/2023,$11.52,299772,$11.40,$11.59,$11.39
02/03/2023,$11.49,450995,$11.48,$11.53,$11.37
02/02/2023,$11.53,489854,$11.78,$11.885,$11.53
02/01/2023,$11.73,785781,$11.53,$11.83,$11.53
01/31/2023,$11.53,1417218,$11.32,$11.8879,$11.30
01/30/2023,$10.70,466188,$10.57,$10.78,$10.50
