Date,Close/Last,Volume,Open,High,Low
05/03/2023,$18.90,3184021,$18.56,$19.20,$18.53
05/02/2023,$18.58,1918257,$18.45,$18.58,$18.06
05/01/2023,$18.55,2356640,$19.16,$19.25,$18.46
04/28/2023,$19.29,2836576,$18.92,$19.72,$18.88
04/27/2023,$18.94,2238947,$18.75,$19.3376,$18.72
04/26/2023,$18.65,2287611,$18.98,$19.23,$18.65
04/25/2023,$19.00,2560841,$19.74,$20.04,$18.91
04/24/2023,$19.93,2742391,$20.15,$20.41,$19.81
04/21/2023,$20.49,2085872,$20.20,$20.62,$20.10
04/20/2023,$20.22,2977376,$20.88,$21.57,$20.06
04/19/2023,$21.31,2539480,$21.28,$21.87,$20.9602
04/18/2023,$21.61,2748702,$22.14,$22.32,$21.50
04/17/2023,$22.28,2066616,$22.27,$22.68,$22.14
04/14/2023,$22.46,2312372,$22.74,$23.25,$22.32
04/13/2023,$22.55,1803934,$22.50,$22.85,$22.33
04/12/2023,$22.26,2141141,$22.90,$23.28,$22.26
04/11/2023,$22.69,2539969,$22.57,$23.165,$22.42
04/10/2023,$22.37,2176087,$21.85,$22.4299,$21.82
04/06/2023,$22.40,2506935,$22.00,$22.67,$21.77
04/05/2023,$22.07,3638100,$22.47,$22.47,$21.23
04/04/2023,$22.35,3421464,$22.75,$23.14,$22.0901
04/03/2023,$23.17,4274492,$22.94,$23.85,$22.66
03/31/2023,$23.02,3880261,$22.35,$23.065,$22.15
03/30/2023,$22.50,3477609,$22.60,$22.83,$22.1076
03/29/2023,$22.46,4161361,$23.08,$23.6965,$22.22
03/28/2023,$23.15,5711651,$22.97,$23.54,$22.22
03/27/2023,$23.00,4580797,$23.99,$24.01,$22.69
03/24/2023,$23.98,8768674,$22.32,$23.99,$22.10
03/23/2023,$22.58,11168850,$22.57,$24.59,$22.13
03/22/2023,$23.87,66764650,$26.60,$27.00,$23.05
03/21/2023,$17.65,15882850,$17.15,$18.35,$17.14
03/20/2023,$16.87,4463676,$16.65,$17.27,$16.25
03/17/2023,$16.60,5105501,$16.62,$16.72,$15.9193
03/16/2023,$16.76,4093282,$16.00,$16.7689,$15.53
03/15/2023,$15.95,4541529,$16.50,$16.69,$15.695
03/14/2023,$16.91,3077400,$17.37,$17.4099,$16.402
03/13/2023,$16.75,2959090,$16.77,$17.3531,$16.52
03/10/2023,$17.25,2845500,$17.53,$17.7657,$16.85
03/09/2023,$17.52,2652605,$18.065,$18.38,$17.475
03/08/2023,$18.17,3277810,$18.05,$18.38,$17.6301
03/07/2023,$18.06,2375301,$18.54,$18.835,$18.06
03/06/2023,$18.65,2815336,$18.52,$19.50,$18.52
03/03/2023,$18.70,2505515,$18.19,$19.10,$18.10
03/02/2023,$18.19,2627304,$18.15,$18.40,$17.62
03/01/2023,$18.15,4210100,$18.92,$19.09,$18.14
02/28/2023,$19.23,3373826,$19.06,$19.52,$18.95
02/27/2023,$19.10,4006677,$19.61,$19.70,$18.89
02/24/2023,$19.54,2277573,$19.71,$20.08,$19.54
02/23/2023,$20.14,2862036,$20.66,$20.87,$19.53
02/22/2023,$20.52,2164879,$20.53,$21.1864,$20.3331
02/21/2023,$20.66,3100309,$21.33,$21.83,$20.625
02/17/2023,$21.99,2850979,$21.27,$22.0699,$21.15
02/16/2023,$21.60,3879046,$21.25,$22.42,$20.85
02/15/2023,$21.80,7147319,$19.80,$21.80,$19.59
02/14/2023,$19.87,2746308,$19.31,$20.01,$19.10
02/13/2023,$19.69,2299304,$19.30,$19.94,$19.01
02/10/2023,$19.27,2902678,$19.56,$20.0399,$19.05
02/09/2023,$19.67,4497399,$21.25,$21.645,$19.67
02/08/2023,$21.10,2846425,$21.43,$21.55,$20.61
02/07/2023,$21.22,9093668,$23.00,$23.05,$20.50
02/06/2023,$23.86,8708367,$21.88,$24.88,$21.7702
02/03/2023,$22.25,4935949,$22.01,$23.9261,$21.80
02/02/2023,$22.70,7655658,$22.44,$24.40,$22.22
02/01/2023,$21.83,4517191,$21.49,$22.12,$20.55
01/31/2023,$21.87,3128376,$21.41,$22.05,$21.30
01/30/2023,$21.25,4950563,$22.50,$23.48,$21.13
01/27/2023,$22.82,11897250,$19.80,$23.31,$19.41
01/26/2023,$20.01,3519973,$20.61,$21.1685,$19.38
