Date,Close/Last,Volume,Open,High,Low
05/03/2023,$29.75,1078387,$30.67,$30.82,$29.70
05/02/2023,$30.57,1244929,$29.84,$30.76,$29.775
05/01/2023,$29.66,1019661,$29.73,$30.28,$29.39
04/28/2023,$29.78,828951,$29.74,$30.20,$29.69
04/27/2023,$29.67,849701,$29.26,$29.81,$28.94
04/26/2023,$29.21,903573,$28.88,$29.32,$28.81
04/25/2023,$29.09,758713,$29.21,$29.65,$28.98
04/24/2023,$29.39,771264,$28.33,$29.435,$28.33
04/21/2023,$28.47,454847,$28.79,$29.16,$28.385
04/20/2023,$28.82,477472,$28.47,$28.83,$28.30
04/19/2023,$28.38,492232,$28.33,$28.55,$27.98
04/18/2023,$28.30,474670,$28.53,$28.535,$28.205
04/17/2023,$28.53,569064,$28.00,$28.60,$27.88
04/14/2023,$27.85,736213,$28.26,$28.61,$27.76
04/13/2023,$28.17,974198,$29.50,$29.74,$28.08
04/12/2023,$29.44,1433960,$29.79,$29.855,$29.12
04/11/2023,$29.72,1053914,$28.81,$29.81,$28.79
04/10/2023,$28.88,1358213,$27.74,$28.955,$27.74
04/06/2023,$27.78,1266599,$27.69,$27.94,$27.52
04/05/2023,$27.76,1052093,$27.81,$27.9799,$27.485
04/04/2023,$28.00,925031,$28.33,$28.3391,$27.91
04/03/2023,$28.19,909189,$28.36,$28.43,$28.05
03/31/2023,$28.26,1074182,$28.45,$28.59,$28.07
03/30/2023,$28.25,599313,$28.40,$28.555,$28.065
03/29/2023,$28.29,1049960,$28.70,$28.70,$27.99
03/28/2023,$28.49,1171387,$28.14,$28.83,$28.14
03/27/2023,$28.19,1080034,$27.53,$28.35,$27.5025
03/24/2023,$27.40,502340,$27.30,$27.57,$27.17
03/23/2023,$27.32,726946,$27.31,$27.50,$27.17
03/22/2023,$27.16,915655,$27.27,$27.74,$27.02
03/21/2023,$27.54,774836,$27.33,$27.60,$27.18
03/20/2023,$27.16,1053915,$26.87,$27.45,$26.87
03/17/2023,$26.91,1784288,$26.93,$27.04,$26.50
03/16/2023,$27.10,1167817,$27.23,$27.33,$26.80
03/15/2023,$27.41,799290,$26.985,$27.51,$26.96
03/14/2023,$27.15,1134540,$27.52,$27.71,$26.98
03/13/2023,$27.03,1323946,$26.56,$27.2294,$26.50
03/10/2023,$26.70,1021198,$27.11,$27.40,$26.325
03/09/2023,$27.19,1402771,$26.96,$27.70,$26.86
03/08/2023,$26.71,1026109,$26.70,$26.80,$25.98
03/07/2023,$26.89,1173564,$27.25,$27.545,$26.87
03/06/2023,$27.19,1805869,$27.47,$27.56,$27.05
03/03/2023,$27.61,1265787,$27.51,$27.71,$27.03
03/02/2023,$27.29,1435769,$26.49,$27.735,$26.30
03/01/2023,$26.44,3249823,$26.08,$26.80,$25.71
