Date,Close/Last,Volume,Open,High,Low
05/03/2023,$71.53,4090908,$71.49,$72.30,$70.86
05/02/2023,$71.18,2421140,$70.58,$71.40,$69.92
05/01/2023,$70.79,2901476,$69.99,$70.925,$69.885
04/28/2023,$69.77,2405698,$69.36,$69.90,$69.12
04/27/2023,$69.29,1254217,$68.36,$69.31,$68.23
04/26/2023,$68.46,1606485,$68.06,$68.64,$67.96
04/25/2023,$68.55,1776154,$67.80,$68.655,$67.73
04/24/2023,$67.62,1678914,$67.46,$67.73,$67.21
04/21/2023,$67.35,1198495,$67.77,$67.99,$67.01
04/20/2023,$67.24,1490003,$67.47,$67.55,$66.88
04/19/2023,$67.35,1251842,$68.02,$68.15,$67.23
04/18/2023,$67.76,1348050,$67.44,$67.81,$67.33
04/17/2023,$67.62,1133091,$67.18,$67.70,$67.1152
04/14/2023,$67.00,1558926,$67.62,$67.73,$66.715
04/13/2023,$67.85,2069834,$68.07,$68.2552,$67.625
04/12/2023,$68.37,1517648,$68.10,$68.78,$67.97
04/11/2023,$68.38,1892632,$67.78,$68.575,$67.61
04/10/2023,$67.78,1351724,$67.77,$67.875,$67.205
04/06/2023,$67.99,1559603,$68.31,$68.63,$67.675
04/05/2023,$68.03,1865039,$67.60,$68.22,$67.29
04/04/2023,$67.29,1504729,$67.20,$67.48,$66.89
04/03/2023,$67.11,2465647,$67.13,$67.605,$66.7394
03/31/2023,$66.96,1933072,$67.00,$67.15,$66.62
03/30/2023,$66.66,1466677,$66.45,$66.70,$66.28
03/29/2023,$66.49,1621774,$66.43,$66.74,$66.14
03/28/2023,$66.29,1515511,$65.94,$66.68,$65.64
03/27/2023,$65.83,1516335,$66.04,$66.40,$65.70
03/24/2023,$65.47,2072029,$64.88,$65.48,$64.62
03/23/2023,$64.60,1909296,$64.41,$65.09,$64.40
03/22/2023,$64.49,1657373,$65.23,$65.485,$64.47
03/21/2023,$65.15,1554699,$65.11,$65.36,$64.54
03/20/2023,$65.02,2549907,$64.84,$65.70,$64.84
03/17/2023,$64.74,9460247,$65.00,$65.03,$63.89
03/16/2023,$64.97,1953296,$65.42,$65.60,$64.32
03/15/2023,$65.26,2283564,$64.57,$65.38,$64.13
03/14/2023,$64.65,2250473,$64.58,$64.71,$63.96
03/13/2023,$64.26,2726347,$64.11,$65.92,$64.11
03/10/2023,$63.89,1824380,$64.18,$64.62,$63.74
03/09/2023,$64.12,1688871,$65.01,$65.242,$63.93
03/08/2023,$64.72,1615036,$64.86,$64.86,$64.18
03/07/2023,$64.54,1605677,$65.25,$65.40,$64.20
03/06/2023,$65.10,1795642,$65.23,$65.4162,$64.92
03/03/2023,$65.34,1954052,$65.45,$65.60,$64.85
03/02/2023,$65.62,2205864,$65.37,$65.81,$65.10
03/01/2023,$65.26,1848860,$65.69,$65.79,$64.55
02/28/2023,$65.94,3451139,$66.83,$66.99,$65.85
02/27/2023,$67.51,1989448,$67.79,$68.13,$67.17
02/24/2023,$67.68,1535331,$68.22,$68.22,$67.4725
02/23/2023,$68.21,1525321,$68.47,$68.60,$67.935
02/22/2023,$68.20,2040824,$69.15,$69.472,$67.94
02/21/2023,$68.91,2936892,$68.41,$69.20,$68.06
02/17/2023,$68.38,2273077,$66.96,$68.46,$66.80
02/16/2023,$66.84,2274270,$66.97,$67.14,$66.52
02/15/2023,$67.18,2805540,$67.23,$67.395,$66.6501
02/14/2023,$67.20,2020248,$68.42,$68.425,$67.16
02/13/2023,$68.38,2089801,$67.71,$68.415,$67.13
02/10/2023,$67.69,2432415,$67.47,$68.03,$67.18
02/09/2023,$67.13,3147319,$67.98,$69.18,$66.69
02/08/2023,$67.20,2976234,$67.69,$67.79,$66.985
02/07/2023,$68.00,2080089,$68.41,$68.60,$67.45
02/06/2023,$69.01,2839797,$67.72,$69.05,$67.24
02/03/2023,$67.61,2493060,$67.83,$67.98,$66.45
02/02/2023,$67.63,2537409,$67.52,$67.865,$67.0757
02/01/2023,$68.26,2079958,$68.39,$68.67,$67.96
01/31/2023,$68.58,2371555,$68.29,$68.59,$67.49
01/30/2023,$68.09,1560397,$67.82,$68.60,$67.77
01/27/2023,$67.60,1649143,$67.42,$67.73,$66.98
