Date,Close/Last,Volume,Open,High,Low
05/03/2023,$110.07,6635083,$115.37,$116.77,$109.895
05/02/2023,$116.97,5342436,$122.00,$122.43,$114.56
05/01/2023,$122.46,4173223,$121.44,$122.94,$120.82
04/28/2023,$122.00,5342330,$120.49,$123.17,$119.75
04/27/2023,$121.43,4610790,$122.53,$123.07,$120.58
04/26/2023,$122.53,3425211,$123.40,$123.82,$121.3203
04/25/2023,$123.15,2884934,$125.18,$125.7499,$122.51
04/24/2023,$126.51,4208145,$123.31,$127.636,$123.02
04/21/2023,$123.53,3256262,$125.63,$126.06,$122.65
04/20/2023,$125.69,3061131,$125.06,$126.34,$124.405
04/19/2023,$126.39,3835562,$127.94,$128.40,$124.71
04/18/2023,$129.06,2960612,$128.15,$129.665,$127.355
04/17/2023,$129.30,2875349,$130.21,$130.66,$127.62
04/14/2023,$130.78,2402720,$130.47,$131.78,$129.44
04/13/2023,$130.48,2495423,$129.46,$131.10,$127.70
04/12/2023,$130.22,2411924,$131.69,$132.09,$130.00
04/11/2023,$132.19,2582925,$131.99,$133.34,$131.09
04/10/2023,$131.24,2765901,$128.73,$131.97,$128.73
04/06/2023,$128.68,3280091,$132.95,$133.05,$128.38
04/05/2023,$132.71,6391331,$125.50,$133.40,$125.06
04/04/2023,$125.82,5256801,$134.28,$134.47,$124.90
04/03/2023,$135.64,4745657,$137.23,$138.83,$132.93
03/31/2023,$134.83,3143368,$134.19,$134.90,$132.86
03/30/2023,$133.94,2936187,$135.02,$135.27,$133.00
03/29/2023,$134.08,4418774,$134.01,$135.13,$132.995
03/28/2023,$131.57,3913210,$127.05,$132.71,$127.00
03/27/2023,$128.91,4107355,$126.30,$129.93,$125.89
03/24/2023,$124.70,3856137,$123.32,$125.51,$120.58
03/23/2023,$126.15,3236283,$127.33,$130.50,$124.98
03/22/2023,$126.98,3225956,$128.26,$130.75,$126.91
03/21/2023,$128.29,4607878,$128.54,$130.04,$126.71
03/20/2023,$126.25,4830744,$123.64,$127.30,$123.46
03/17/2023,$123.66,13118670,$125.20,$125.73,$122.89
03/16/2023,$125.16,6170646,$120.27,$125.98,$119.46
03/15/2023,$122.69,6669090,$123.38,$124.50,$119.59
03/14/2023,$127.78,4528122,$124.71,$130.74,$124.29
03/13/2023,$123.78,4107674,$124.97,$126.42,$121.87
03/10/2023,$128.55,3746735,$129.06,$132.02,$128.0334
03/09/2023,$128.38,3370852,$128.95,$132.45,$128.25
03/08/2023,$127.87,3516743,$130.00,$131.76,$125.63
03/07/2023,$130.21,3592557,$131.56,$132.68,$129.30
03/06/2023,$131.92,3271530,$132.21,$133.24,$130.64
03/03/2023,$133.50,3651780,$129.52,$134.1355,$128.78
03/02/2023,$129.63,3054078,$128.71,$130.395,$127.88
03/01/2023,$129.19,4295291,$123.67,$129.97,$123.06
02/28/2023,$123.60,5774574,$127.72,$127.79,$123.54
