Date,Close/Last,Volume,Open,High,Low
05/03/2023,$13.67,746073,$13.75,$13.89,$13.59
05/02/2023,$13.72,1031894,$13.71,$13.83,$13.515
05/01/2023,$13.75,757895,$13.37,$13.865,$13.37
04/28/2023,$13.40,882622,$13.36,$13.505,$13.355
04/27/2023,$13.35,607680,$13.00,$13.39,$13.00
04/26/2023,$12.95,603687,$13.16,$13.26,$12.93
04/25/2023,$13.30,649957,$13.37,$13.435,$13.25
04/24/2023,$13.45,587694,$13.46,$13.66,$13.42
04/21/2023,$13.53,2241562,$13.56,$13.59,$13.415
04/20/2023,$13.52,607656,$13.52,$13.655,$13.40
04/19/2023,$13.57,1033540,$13.55,$13.62,$13.47
04/18/2023,$13.59,598489,$13.73,$13.82,$13.515
04/17/2023,$13.69,760104,$13.51,$13.70,$13.475
04/14/2023,$13.55,789555,$13.58,$13.68,$13.44
04/13/2023,$13.56,738445,$13.58,$13.62,$13.34
04/12/2023,$13.56,544990,$13.66,$13.67,$13.51
04/11/2023,$13.53,905936,$13.27,$13.58,$13.27
04/10/2023,$13.25,759420,$12.98,$13.29,$12.98
04/06/2023,$13.06,943626,$13.05,$13.14,$12.93
04/05/2023,$13.08,779730,$13.13,$13.22,$12.96
04/04/2023,$13.27,564800,$13.80,$13.90,$13.17
04/03/2023,$13.80,740006,$13.89,$13.985,$13.64
03/31/2023,$13.94,992914,$13.67,$13.96,$13.67
03/30/2023,$13.59,897029,$13.51,$13.60,$13.46
03/29/2023,$13.43,784666,$13.33,$13.47,$13.29
03/28/2023,$13.21,538882,$13.19,$13.28,$13.15
03/27/2023,$13.19,607391,$13.27,$13.32,$13.105
03/24/2023,$13.09,857964,$12.83,$13.115,$12.73
03/23/2023,$12.93,928066,$13.03,$13.19,$12.82
03/22/2023,$13.00,1054245,$13.42,$13.48,$12.99
03/21/2023,$13.39,1033396,$13.38,$13.50,$13.305
03/20/2023,$13.16,954162,$13.02,$13.25,$13.02
03/17/2023,$12.86,3172496,$13.07,$13.10,$12.795
03/16/2023,$13.16,699668,$12.94,$13.29,$12.89
03/15/2023,$13.10,1126048,$13.12,$13.17,$12.865
03/14/2023,$13.37,1216795,$13.27,$13.43,$13.23
03/13/2023,$12.90,1143380,$12.90,$13.10,$12.82
03/10/2023,$13.11,1107519,$13.45,$13.45,$13.00
03/09/2023,$13.50,447472,$13.73,$13.805,$13.48
03/08/2023,$13.70,404506,$13.70,$13.76,$13.56
03/07/2023,$13.69,659728,$13.88,$13.94,$13.67
03/06/2023,$13.82,679078,$14.10,$14.13,$13.775
03/03/2023,$14.09,1048031,$14.11,$14.14,$13.87
03/02/2023,$13.99,505732,$13.81,$14.03,$13.72
03/01/2023,$13.91,825136,$13.89,$14.025,$13.78
02/28/2023,$13.87,998160,$13.83,$14.08,$13.8201
02/27/2023,$13.88,532766,$13.93,$14.04,$13.85
02/24/2023,$13.87,514496,$13.79,$13.91,$13.72
