Date,Close/Last,Volume,Open,High,Low
05/03/2023,$42.236,737,$40.93,$42.29,$40.93
05/02/2023,$41.19,3315,$43.22,$43.22,$41.19
05/01/2023,$42.89,7042,$42.94,$42.94,$41.10
04/28/2023,$42.60,275,$42.60,$42.60,$42.175
04/27/2023,$42.83,756,$42.83,$42.83,$42.29
04/26/2023,$42.61,551,$42.81,$42.81,$41.51
04/25/2023,$42.016,96,$42.05,$42.34,$42.016
04/24/2023,$41.725,251,$41.03,$42.35,$41.03
04/21/2023,$41.10,2009,$40.72,$42.00,$40.72
04/20/2023,$40.42,1251,$41.55,$41.55,$40.34
04/19/2023,$40.975,967,$40.34,$41.483,$40.34
04/18/2023,$41.42,6954,$41.347,$41.77,$41.30
04/17/2023,$41.00,10330,$40.78,$41.00,$40.60
04/14/2023,$41.2245,15449,$41.35,$41.41,$40.90
04/13/2023,$40.625,10792,$40.00,$41.25,$40.00
04/12/2023,$41.196,39784,$41.454,$41.54,$40.68
04/11/2023,$40.859,10849,$41.34,$41.34,$40.0501
04/10/2023,$41.19,6582,$40.46,$41.20,$39.92
04/06/2023,$39.89,5833,$40.13,$40.78,$39.885
04/05/2023,$39.84,1394,$40.49,$40.49,$39.1901
04/04/2023,$40.89,17404,$40.906,$41.35,$40.459
04/03/2023,$38.865,17714,$39.30,$39.30,$38.43
03/31/2023,$39.28,537,$39.28,$39.28,$38.00
03/30/2023,$38.914,2518,$38.43,$39.04,$38.43
03/29/2023,$39.13,3997,$39.56,$39.56,$38.80
03/28/2023,$38.70,4204,$39.50,$39.50,$38.50
03/27/2023,$38.89,9047,$38.52,$39.26,$38.52
03/24/2023,$38.78,2077,$38.78,$38.78,$38.50
03/23/2023,$38.8075,2314,$38.58,$38.93,$38.58
03/22/2023,$38.5135,6392,$38.576,$38.72,$38.00
03/21/2023,$38.50,1616,$38.27,$38.91,$38.27
03/20/2023,$38.60,2278,$38.69,$38.89,$38.06
03/17/2023,$38.805,3306,$39.11,$39.11,$37.88
03/16/2023,$37.587,11129,$37.90,$38.37,$37.50
03/15/2023,$37.914,4399,$37.87,$37.914,$37.685
03/14/2023,$38.12,1975,$38.19,$38.616,$37.50
03/13/2023,$37.9975,1766,$37.50,$38.49,$37.25
03/10/2023,$38.175,1340,$38.50,$38.50,$37.775
03/09/2023,$38.245,2312,$38.812,$38.812,$37.75
03/08/2023,$37.85,3612,$38.10,$38.10,$37.575
03/07/2023,$37.50,11401,$38.112,$38.50,$37.50
03/06/2023,$37.85,8546,$38.40,$38.50,$37.85
03/03/2023,$38.4299,4208,$37.62,$38.4299,$37.62
03/02/2023,$37.375,9791,$37.85,$37.85,$37.29
03/01/2023,$38.02,1120,$37.813,$38.02,$37.30
02/28/2023,$37.75,1745,$38.00,$38.00,$37.30
02/27/2023,$38.35,1848,$38.62,$38.62,$38.00
02/24/2023,$38.80,17514,$39.03,$39.03,$38.515
02/23/2023,$40.29,231,$40.29,$40.29,$39.865
02/22/2023,$39.585,39644,$39.92,$40.02,$39.44
02/21/2023,$39.93,1494,$40.47,$40.47,$39.93
02/17/2023,$40.974,209,$40.604,$40.974,$40.38
02/16/2023,$40.70,1734,$40.55,$41.00,$40.34
02/15/2023,$40.34,413,$40.18,$40.34,$39.84
02/14/2023,$40.52,35425,$40.55,$40.55,$39.54
02/13/2023,$39.905,40762,$39.57,$40.00,$39.40
02/10/2023,$40.55,15360,$40.85,$40.85,$40.365
02/09/2023,$40.60,52222,$40.99,$40.99,$39.975
02/08/2023,$40.41,2181,$40.75,$40.75,$39.22
02/07/2023,$41.39,4583,$42.00,$42.00,$40.50
02/06/2023,$42.40,873,$42.80,$42.80,$42.01
02/03/2023,$43.59,917,$43.59,$43.59,$43.15
02/02/2023,$43.94,752,$43.99,$43.99,$43.2701
02/01/2023,$43.345,7597,$43.36,$43.6899,$42.67
01/31/2023,$43.63,995,$43.53,$43.63,$43.08
01/30/2023,$43.08,1386,$43.05,$43.40,$42.70
01/27/2023,$43.08,1238,$43.69,$43.69,$43.08
01/26/2023,$43.295,6774,$43.332,$43.584,$43.07
01/25/2023,$42.575,1704,$43.012,$43.25,$42.4001
01/24/2023,$42.26,342,$42.65,$42.87,$42.26
01/23/2023,$42.98,40331,$42.08,$42.98,$42.08
01/20/2023,$43.14,25295,$42.89,$43.14,$42.21
01/19/2023,$43.30,8292,$43.37,$43.37,$42.731
