Date,Close/Last,Volume,Open,High,Low
05/03/2023,$4.77,186539,$4.82,$4.92,$4.77
05/02/2023,$4.80,209395,$4.96,$4.98,$4.80
05/01/2023,$4.965,207891,$4.89,$5.0027,$4.89
04/28/2023,$4.94,368844,$4.80,$4.95,$4.77
04/27/2023,$4.83,471248,$4.82,$4.95,$4.76
04/26/2023,$4.65,460353,$4.65,$4.71,$4.57
04/25/2023,$4.645,186889,$4.71,$4.745,$4.64
04/24/2023,$4.76,261545,$4.90,$4.91,$4.72
04/21/2023,$4.87,241029,$4.89,$4.915,$4.82
04/20/2023,$4.89,247385,$4.91,$4.97,$4.88
04/19/2023,$4.90,235365,$4.90,$5.005,$4.85
04/18/2023,$4.955,737067,$5.12,$5.12,$4.89
04/17/2023,$5.09,516628,$5.21,$5.21,$4.90
04/14/2023,$5.16,271111,$5.21,$5.29,$5.085
04/13/2023,$5.21,1064798,$5.00,$5.245,$4.90
04/12/2023,$4.99,910136,$5.16,$5.24,$4.90
04/11/2023,$5.07,138315,$4.97,$5.17,$4.96
04/10/2023,$4.93,147673,$4.65,$4.96,$4.65
04/06/2023,$4.71,320343,$4.72,$4.77,$4.60
04/05/2023,$4.72,210376,$4.92,$5.01,$4.71
04/04/2023,$4.96,145842,$5.05,$5.07,$4.8709
04/03/2023,$5.00,268470,$4.87,$5.005,$4.79
03/31/2023,$4.85,210289,$4.76,$4.86,$4.70
03/30/2023,$4.70,269661,$4.70,$4.81,$4.68
03/29/2023,$4.75,214155,$4.72,$4.75,$4.60
03/28/2023,$4.65,246951,$4.71,$4.74,$4.61
03/27/2023,$4.73,184686,$4.75,$4.842,$4.67
03/24/2023,$4.67,304182,$4.88,$5.01,$4.64
03/23/2023,$4.95,295514,$5.17,$5.20,$4.90
03/22/2023,$5.11,351736,$4.96,$5.18,$4.96
03/21/2023,$4.90,165443,$4.88,$4.97,$4.86
03/20/2023,$4.81,129672,$4.81,$5.10,$4.775
03/17/2023,$4.78,416954,$4.75,$4.85,$4.61
03/16/2023,$4.78,159083,$4.78,$4.90,$4.735
03/15/2023,$4.88,191715,$4.91,$4.96,$4.76
03/14/2023,$5.09,361962,$4.93,$5.22,$4.92
03/13/2023,$4.82,590279,$5.19,$5.29,$4.74
03/10/2023,$5.24,375221,$5.40,$5.52,$5.23
03/09/2023,$5.40,703413,$6.05,$6.05,$5.31
03/08/2023,$5.95,134562,$5.95,$6.00,$5.87
03/07/2023,$5.94,149977,$5.89,$6.10,$5.89
03/06/2023,$5.88,310795,$6.00,$6.14,$5.85
03/03/2023,$5.95,494982,$6.06,$6.06,$5.90
03/02/2023,$6.02,63284,$5.88,$6.06,$5.88
03/01/2023,$5.93,71384,$5.83,$5.95,$5.79
02/28/2023,$5.84,103333,$5.87,$5.98,$5.81
02/27/2023,$5.90,107346,$5.98,$6.055,$5.84
02/24/2023,$5.88,121650,$5.88,$5.99,$5.715
02/23/2023,$5.98,52921,$6.15,$6.15,$5.92
02/22/2023,$6.05,111935,$5.85,$6.09,$5.83
02/21/2023,$5.90,111956,$6.08,$6.23,$5.82
02/17/2023,$6.15,117339,$6.15,$6.23,$5.96
02/16/2023,$6.12,84377,$6.07,$6.33,$6.00
02/15/2023,$6.11,159628,$6.00,$6.28,$5.93
02/14/2023,$6.00,152066,$5.92,$6.0573,$5.82
02/13/2023,$5.94,122085,$5.89,$6.10,$5.85
02/10/2023,$5.93,125494,$6.08,$6.135,$5.80
02/09/2023,$6.07,130919,$6.43,$6.45,$6.04
02/08/2023,$6.34,119286,$6.51,$6.51,$6.27
02/07/2023,$6.51,120216,$6.41,$6.54,$6.32
02/06/2023,$6.41,118179,$6.35,$6.49,$6.31
02/03/2023,$6.37,120188,$6.48,$6.55,$6.2854
02/02/2023,$6.55,182148,$6.44,$6.55,$6.35
02/01/2023,$6.37,123139,$6.30,$6.435,$6.205
01/31/2023,$6.29,449476,$5.95,$6.39,$5.94
01/30/2023,$5.95,62689,$5.95,$6.02,$5.9055
01/27/2023,$6.02,57789,$6.06,$6.08,$5.91
01/26/2023,$6.07,68048,$6.08,$6.15,$6.00
01/25/2023,$6.04,70802,$5.93,$6.14,$5.82
01/24/2023,$5.95,70025,$6.14,$6.14,$5.92
01/23/2023,$6.16,56687,$6.16,$6.25,$6.06
01/20/2023,$6.14,118721,$5.94,$6.17,$5.85
01/19/2023,$5.86,125226,$5.80,$5.91,$5.52
01/18/2023,$5.83,80285,$6.26,$6.26,$5.81
01/17/2023,$6.19,81971,$6.21,$6.33,$5.71
01/13/2023,$6.23,67232,$6.07,$6.275,$5.78
01/12/2023,$6.14,56737,$6.05,$6.18,$5.85
01/11/2023,$6.02,104477,$5.74,$6.04,$5.73
01/10/2023,$5.67,47377,$5.68,$5.7621,$5.60
01/09/2023,$5.67,53952,$5.69,$5.80,$5.63
01/06/2023,$5.66,87381,$5.69,$5.7375,$5.61
01/05/2023,$5.61,68479,$5.68,$5.75,$5.60
01/04/2023,$5.68,57455,$5.53,$5.74,$5.49
01/03/2023,$5.53,61146,$5.57,$5.70,$5.41
12/30/2022,$5.49,89207,$5.45,$5.57,$5.41
12/29/2022,$5.50,92335,$5.48,$5.5417,$5.44
12/28/2022,$5.44,120440,$5.43,$5.48,$5.34
12/27/2022,$5.41,96711,$5.22,$5.50,$5.15
12/23/2022,$5.16,171051,$4.99,$5.24,$4.89
12/22/2022,$5.00,204330,$5.01,$5.01,$4.88
12/21/2022,$5.08,286608,$5.03,$5.11,$4.93
12/20/2022,$5.00,166393,$5.20,$5.25,$4.96
12/19/2022,$5.22,72910,$5.47,$5.47,$5.14
12/16/2022,$5.45,219865,$5.36,$5.58,$5.19
12/15/2022,$5.44,100284,$5.39,$5.47,$5.25
12/14/2022,$5.44,125440,$5.56,$5.66,$5.37
12/13/2022,$5.52,136750,$5.62,$5.62,$5.36
12/12/2022,$5.38,55627,$5.36,$5.44,$5.23
12/09/2022,$5.32,98916,$5.07,$5.39,$5.058
12/08/2022,$5.07,156225,$5.16,$5.27,$5.05
12/07/2022,$5.12,116716,$5.18,$5.36,$5.07
12/06/2022,$5.16,321384,$5.45,$5.56,$5.11
12/05/2022,$5.44,90294,$5.52,$5.52,$5.40
12/02/2022,$5.54,89215,$5.52,$5.64,$5.49
12/01/2022,$5.62,85173,$5.55,$5.70,$5.4972
11/30/2022,$5.51,159517,$5.46,$5.64,$5.33
11/29/2022,$5.43,119764,$5.44,$5.59,$5.38
11/28/2022,$5.45,176969,$5.50,$5.65,$5.31
11/25/2022,$5.68,18039,$5.63,$5.72,$5.56
11/23/2022,$5.61,78373,$5.78,$5.78,$5.56
11/22/2022,$5.78,73855,$5.71,$5.83,$5.61
11/21/2022,$5.66,62739,$5.75,$5.76,$5.57
11/18/2022,$5.75,74513,$5.92,$5.9381,$5.71
11/17/2022,$5.80,87270,$5.69,$6.00,$5.69
11/16/2022,$5.75,131885,$5.87,$5.98,$5.64
11/15/2022,$5.98,76897,$6.13,$6.255,$5.64
11/14/2022,$5.99,99046,$6.25,$6.25,$5.95
11/11/2022,$6.30,108823,$6.21,$6.48,$6.13
11/10/2022,$6.22,143893,$6.01,$6.26,$5.95
11/09/2022,$5.68,255862,$6.24,$6.4492,$5.67
11/08/2022,$6.30,218556,$5.84,$6.33,$5.84
11/07/2022,$5.89,342064,$5.65,$5.9299,$5.55
11/04/2022,$5.60,228033,$5.81,$5.865,$5.17
11/03/2022,$5.81,169279,$5.93,$6.13,$5.34
11/02/2022,$5.96,141033,$6.04,$6.18,$5.925
11/01/2022,$6.01,156930,$5.95,$6.12,$5.80
10/31/2022,$5.82,129302,$5.89,$5.983,$5.795
10/28/2022,$5.91,111005,$5.77,$6.00,$5.76
10/27/2022,$5.80,95829,$5.95,$6.07,$5.79
10/26/2022,$5.91,125146,$5.91,$6.10,$5.85
10/25/2022,$5.85,91554,$5.67,$5.9015,$5.67
10/24/2022,$5.65,86180,$5.60,$5.66,$5.48
10/21/2022,$5.60,105376,$5.53,$5.63,$5.4615
10/20/2022,$5.49,116238,$5.26,$5.60,$4.90
10/19/2022,$5.29,115686,$5.31,$5.33,$5.16
10/18/2022,$5.32,166230,$5.35,$5.51,$5.22
10/17/2022,$5.17,184003,$5.12,$5.255,$5.09
10/14/2022,$5.06,152232,$5.36,$5.36,$5.03
10/13/2022,$5.29,214227,$4.99,$5.34,$4.93
10/12/2022,$5.10,283477,$5.10,$5.19,$5.01
10/11/2022,$5.01,204545,$4.89,$5.08,$4.8638
10/10/2022,$4.93,367902,$4.76,$4.98,$4.75
10/07/2022,$4.72,156640,$4.75,$4.77,$4.60
10/06/2022,$4.82,335727,$4.77,$4.90,$4.735
10/05/2022,$4.78,539223,$4.89,$4.975,$4.745
10/04/2022,$4.95,139096,$4.94,$5.07,$4.875
10/03/2022,$4.77,118721,$4.77,$4.81,$4.59
09/30/2022,$4.70,293316,$4.75,$4.86,$4.65
09/29/2022,$4.75,172308,$4.78,$4.82,$4.63
09/28/2022,$4.91,127445,$4.79,$5.05,$4.74
09/27/2022,$4.69,100713,$4.72,$4.88,$4.63
09/26/2022,$4.62,102762,$4.51,$4.65,$4.51
09/23/2022,$4.54,136253,$4.63,$4.63,$4.42
09/22/2022,$4.61,198734,$4.73,$4.73,$4.48
09/21/2022,$4.76,102470,$4.88,$4.99,$4.74
09/20/2022,$4.86,345287,$4.90,$4.96,$4.75
09/19/2022,$4.91,83532,$4.70,$4.92,$4.69
09/16/2022,$4.73,634745,$4.87,$4.91,$4.665
09/15/2022,$4.91,104060,$4.85,$5.06,$4.83
09/14/2022,$4.88,101842,$4.92,$4.94,$4.80
09/13/2022,$4.86,112118,$5.06,$5.0601,$4.85
09/12/2022,$5.25,118632,$5.12,$5.28,$5.08
09/09/2022,$5.06,170458,$4.90,$5.07,$4.755
09/08/2022,$4.83,70783,$4.84,$4.92,$4.75
09/07/2022,$4.85,146752,$4.61,$4.88,$4.61
09/06/2022,$4.55,258748,$4.63,$4.67,$4.46
09/02/2022,$4.58,250797,$4.79,$4.79,$4.54
09/01/2022,$4.67,175208,$4.69,$4.705,$4.5201
08/31/2022,$4.75,189312,$4.95,$4.95,$4.72
08/30/2022,$4.89,120980,$4.89,$4.955,$4.80
08/29/2022,$4.84,134672,$4.79,$4.95,$4.75
08/26/2022,$4.82,284775,$5.31,$5.315,$4.78
08/25/2022,$5.28,85417,$5.18,$5.32,$5.07
08/24/2022,$5.11,117323,$5.27,$5.39,$5.11
08/23/2022,$5.25,95907,$5.18,$5.34,$5.18
08/22/2022,$5.10,93695,$5.15,$5.39,$5.04
08/19/2022,$5.26,147761,$5.35,$5.48,$5.23
08/18/2022,$5.45,87289,$5.34,$5.53,$5.29
08/17/2022,$5.37,159253,$5.51,$5.525,$5.26
08/16/2022,$5.57,246643,$5.23,$5.58,$5.20
08/15/2022,$5.26,110502,$5.25,$5.39,$5.20
08/12/2022,$5.30,163580,$5.21,$5.34,$5.17
08/11/2022,$5.15,370547,$5.32,$5.38,$5.105
08/10/2022,$5.28,227449,$5.17,$5.31,$5.01
08/09/2022,$5.01,197424,$5.01,$5.10,$4.84
08/08/2022,$5.06,129236,$4.92,$5.1686,$4.91
08/05/2022,$4.85,172995,$4.88,$4.97,$4.81
08/04/2022,$4.96,126529,$5.14,$5.14,$4.93
08/03/2022,$5.11,158622,$5.17,$5.25,$5.01
08/02/2022,$5.15,229420,$5.06,$5.21,$4.98
08/01/2022,$5.16,178537,$5.17,$5.30,$5.10
07/29/2022,$5.21,677180,$5.00,$5.27,$4.94
07/28/2022,$4.92,574861,$4.68,$4.995,$4.25
07/27/2022,$4.75,344246,$4.46,$4.79,$4.45
07/26/2022,$4.37,691205,$4.92,$4.93,$4.34
07/25/2022,$4.95,194892,$5.05,$5.125,$4.8931
07/22/2022,$5.04,125174,$5.21,$5.30,$5.02
07/21/2022,$5.19,198299,$5.20,$5.25,$5.04
07/20/2022,$5.18,216311,$5.31,$5.31,$5.16
07/19/2022,$5.28,526337,$5.28,$5.34,$5.10
07/18/2022,$5.19,535448,$5.25,$5.31,$5.05
07/15/2022,$5.19,360403,$4.81,$5.24,$4.79
07/14/2022,$4.67,145703,$4.60,$4.73,$4.56
07/13/2022,$4.69,207710,$4.60,$4.75,$4.51
07/12/2022,$4.63,516746,$4.91,$4.98,$4.60
07/11/2022,$4.94,140731,$5.12,$5.12,$4.90
07/08/2022,$5.17,151200,$5.18,$5.32,$5.14
07/07/2022,$5.22,216277,$5.15,$5.30,$5.1475
07/06/2022,$5.10,213612,$5.10,$5.32,$5.03
07/05/2022,$4.98,269688,$4.52,$4.98,$4.52
07/01/2022,$4.66,392369,$4.63,$4.75,$4.58
06/30/2022,$4.70,313932,$4.57,$4.735,$4.56
06/29/2022,$4.65,205493,$4.82,$4.82,$4.5699
06/28/2022,$4.82,230564,$5.04,$5.15,$4.72
06/27/2022,$5.00,239523,$5.07,$5.07,$4.80
06/24/2022,$4.99,962797,$5.01,$5.38,$4.85
