Date,Close/Last,Volume,Open,High,Low
05/03/2023,$443.71,520165,$447.53,$452.28,$443.57
05/02/2023,$448.81,770369,$460.83,$460.84,$448.58
05/01/2023,$462.72,630312,$461.95,$466.0299,$459.59
04/28/2023,$461.27,708800,$460.37,$461.57,$455.525
04/27/2023,$457.68,1370998,$452.48,$459.675,$443.00
04/26/2023,$449.09,1413000,$462.69,$464.3281,$449.07
04/25/2023,$465.47,691418,$470.11,$470.11,$464.42
04/24/2023,$470.92,593594,$471.16,$472.6305,$466.50
04/21/2023,$471.99,1519458,$475.72,$475.72,$468.83
04/20/2023,$474.18,511686,$478.40,$478.40,$472.07
04/19/2023,$477.07,482811,$480.46,$482.7909,$476.20
04/18/2023,$479.47,756224,$475.74,$483.40,$475.74
04/17/2023,$474.79,598425,$472.99,$477.68,$471.38
04/14/2023,$472.57,501938,$470.55,$473.09,$468.765
04/13/2023,$474.16,540005,$472.00,$476.065,$469.67
04/12/2023,$472.77,574938,$467.43,$474.7299,$466.03
04/11/2023,$468.27,657095,$476.12,$476.12,$467.525
04/10/2023,$476.54,594820,$470.98,$478.17,$470.98
04/06/2023,$470.39,575862,$474.68,$476.26,$468.29
04/05/2023,$470.91,707031,$467.22,$473.60,$467.22
04/04/2023,$468.10,495274,$468.73,$471.94,$465.00
04/03/2023,$469.19,577564,$463.30,$471.55,$462.65
03/31/2023,$461.72,640613,$462.98,$463.32,$459.45
03/30/2023,$460.98,541518,$460.46,$462.92,$458.50
03/29/2023,$461.57,584223,$459.38,$462.58,$457.495
03/28/2023,$459.00,476830,$458.31,$461.50,$457.59
03/27/2023,$458.25,626760,$459.09,$459.80,$455.18
03/24/2023,$455.25,1006400,$445.08,$456.20,$443.00
03/23/2023,$444.44,1123898,$444.01,$446.06,$440.71
03/22/2023,$443.60,726223,$450.22,$452.40,$443.085
03/21/2023,$449.98,680128,$453.79,$454.66,$447.07
03/20/2023,$449.26,662434,$445.27,$452.31,$445.005
03/17/2023,$443.60,1599300,$449.81,$450.16,$441.305
03/16/2023,$450.15,1080595,$449.11,$455.97,$448.00
03/15/2023,$448.90,1513271,$448.97,$456.38,$439.87
03/14/2023,$453.66,1782986,$457.90,$459.98,$449.23
03/13/2023,$457.74,1237246,$454.69,$462.87,$453.715
03/10/2023,$459.78,772293,$458.53,$463.19,$457.19
03/09/2023,$459.04,834940,$469.63,$469.63,$458.20
03/08/2023,$465.25,1089050,$472.00,$475.63,$460.92
03/07/2023,$472.20,923283,$470.86,$475.97,$470.68
03/06/2023,$470.22,761274,$466.62,$474.40,$465.96
03/03/2023,$467.38,726868,$470.18,$470.6982,$464.52
03/02/2023,$468.27,549323,$460.33,$468.88,$460.33
03/01/2023,$462.55,588850,$461.97,$465.67,$459.25
02/28/2023,$464.11,764469,$470.49,$471.74,$463.31
02/27/2023,$470.07,681547,$470.63,$474.10,$467.37
02/24/2023,$470.91,629295,$472.65,$478.00,$468.55
02/23/2023,$476.26,995411,$477.55,$482.34,$472.705
02/22/2023,$478.73,1289167,$473.96,$481.50,$473.95
02/21/2023,$473.95,1272818,$474.78,$479.15,$468.57
02/17/2023,$470.63,830121,$465.44,$470.67,$462.78
02/16/2023,$465.35,968165,$458.21,$468.53,$456.37
02/15/2023,$460.94,828135,$465.92,$468.09,$458.93
02/14/2023,$467.51,1253044,$467.88,$470.92,$465.87
02/13/2023,$464.28,922191,$467.81,$470.99,$458.99
02/10/2023,$463.86,968027,$457.12,$464.33,$456.43
02/09/2023,$453.85,951890,$455.81,$461.92,$452.40
02/08/2023,$456.06,961608,$451.00,$456.89,$450.35
02/07/2023,$452.15,1098528,$448.00,$454.13,$443.49
02/06/2023,$448.96,1321325,$443.07,$453.74,$442.97
02/03/2023,$440.64,1388411,$451.00,$454.4552,$440.02
02/02/2023,$440.86,1236731,$439.44,$444.675,$436.00
02/01/2023,$442.59,901288,$445.45,$449.02,$442.12
01/31/2023,$448.04,1320546,$441.42,$448.07,$435.63
01/30/2023,$439.28,1531185,$445.01,$448.65,$436.49
01/27/2023,$437.65,2143633,$433.18,$443.9895,$430.935
01/26/2023,$443.47,3119174,$458.00,$473.204,$438.99
01/25/2023,$463.29,1141675,$457.79,$466.00,$457.67
01/24/2023,$459.31,1119054,$452.21,$462.99,$448.00
01/23/2023,$450.87,1055036,$451.97,$454.48,$448.333
01/20/2023,$450.76,2130941,$445.99,$452.30,$440.09
01/19/2023,$442.31,1376815,$448.15,$453.0099,$442.21
01/18/2023,$446.06,1927399,$453.73,$454.08,$445.5101
01/17/2023,$455.57,1934738,$463.34,$465.23,$453.73
01/13/2023,$461.43,2608938,$474.40,$474.40,$454.785
01/12/2023,$487.98,1097818,$491.71,$494.00,$485.89
01/11/2023,$492.93,944004,$496.20,$499.355,$489.49
01/10/2023,$495.79,902249,$496.97,$502.31,$490.95
01/09/2023,$495.41,1853180,$518.03,$518.03,$488.12
01/06/2023,$521.42,1084733,$529.81,$540.845,$505.05
01/05/2023,$528.52,766654,$526.53,$533.7099,$522.94
01/04/2023,$526.45,939793,$535.87,$540.35,$522.3704
01/03/2023,$540.33,615240,$544.92,$547.80,$537.90
12/30/2022,$545.61,564872,$542.93,$546.87,$539.51
12/29/2022,$542.00,487209,$540.22,$544.22,$538.205
12/28/2022,$540.41,718112,$543.45,$545.37,$540.24
12/27/2022,$541.19,454538,$538.00,$544.04,$537.00
12/23/2022,$534.77,475826,$531.71,$536.25,$529.875
12/22/2022,$531.37,434599,$539.00,$542.10,$526.38
12/21/2022,$538.79,518639,$531.00,$540.56,$529.78
12/20/2022,$529.57,642058,$533.63,$540.81,$528.17
12/19/2022,$532.52,783745,$529.58,$538.00,$526.46
12/16/2022,$529.87,1429134,$527.17,$532.38,$521.61
12/15/2022,$528.49,483255,$532.73,$533.37,$522.61
12/14/2022,$531.78,575919,$528.75,$537.67,$524.95
12/13/2022,$525.59,853678,$537.01,$537.06,$523.34
12/12/2022,$535.18,540520,$530.50,$535.89,$525.92
12/09/2022,$528.94,589617,$539.00,$545.73,$528.83
12/08/2022,$540.55,378796,$545.00,$546.75,$539.26
12/07/2022,$540.21,583059,$532.18,$540.94,$529.898
12/06/2022,$531.81,576662,$543.80,$543.80,$528.36
12/05/2022,$541.43,671112,$539.52,$543.19,$533.845
12/02/2022,$545.60,843649,$528.58,$549.87,$527.39
12/01/2022,$530.30,568254,$534.62,$535.42,$521.60
11/30/2022,$533.29,786568,$527.95,$534.89,$524.46
11/29/2022,$528.35,385674,$524.87,$529.70,$523.20
11/28/2022,$524.88,490632,$524.72,$530.53,$522.44
11/25/2022,$527.83,254357,$526.87,$529.79,$522.08
11/23/2022,$522.34,553648,$524.44,$525.77,$518.37
11/22/2022,$524.65,635383,$529.91,$533.77,$523.43
11/21/2022,$527.87,861615,$521.71,$532.44,$520.49
11/18/2022,$520.42,863540,$518.84,$524.79,$515.83
11/17/2022,$518.85,950987,$504.94,$519.79,$504.82
11/16/2022,$505.13,1067053,$499.00,$507.675,$496.04
11/15/2022,$500.72,1902759,$485.00,$510.00,$479.9233
11/14/2022,$481.74,2186448,$496.00,$500.07,$478.46
11/11/2022,$492.70,2267441,$517.97,$518.83,$490.20
11/10/2022,$531.59,1220082,$540.78,$540.78,$523.72
