Date,Close/Last,Volume,Open,High,Low
05/03/2023,$92.81,747028,$91.63,$93.18,$91.51
05/02/2023,$91.36,773001,$91.14,$91.40,$90.13
05/01/2023,$92.19,1066866,$92.10,$92.51,$91.25
04/28/2023,$89.67,2335192,$91.53,$91.68,$88.55
04/27/2023,$95.09,1267295,$94.06,$95.15,$93.6825
04/26/2023,$93.81,1785277,$92.53,$95.04,$92.53
04/25/2023,$90.76,822562,$91.455,$91.80,$90.55
04/24/2023,$91.56,512937,$91.86,$92.03,$91.40
04/21/2023,$92.05,605814,$91.87,$92.38,$91.61
04/20/2023,$91.38,608328,$90.97,$92.275,$90.915
04/19/2023,$90.97,422356,$91.00,$91.12,$90.73
04/18/2023,$91.31,866978,$91.57,$91.86,$90.99
04/17/2023,$91.15,772982,$90.55,$91.23,$90.35
04/14/2023,$90.86,728444,$90.85,$91.46,$90.412
04/13/2023,$90.49,684741,$90.10,$90.83,$89.94
04/12/2023,$89.44,419871,$90.00,$90.40,$89.29
04/11/2023,$88.91,443394,$89.24,$89.49,$88.83
04/10/2023,$88.51,449636,$87.76,$88.52,$87.73
04/06/2023,$88.17,796034,$88.25,$88.335,$87.22
04/05/2023,$89.65,644359,$89.90,$90.02,$89.52
04/04/2023,$91.01,809882,$90.78,$91.145,$90.36
04/03/2023,$91.33,879128,$90.41,$91.38,$90.41
03/31/2023,$90.65,1221473,$89.77,$90.92,$89.75
03/30/2023,$89.31,1178964,$88.70,$89.53,$88.555
03/29/2023,$87.87,957203,$86.93,$88.02,$86.74
03/28/2023,$85.82,656159,$86.11,$86.6682,$85.74
03/27/2023,$86.64,846780,$87.12,$87.41,$86.33
03/24/2023,$87.53,1107318,$88.30,$88.43,$86.96
03/23/2023,$88.27,935305,$88.32,$89.415,$87.702
03/22/2023,$87.44,786051,$88.91,$89.0699,$87.43
03/21/2023,$89.37,704849,$89.08,$89.70,$88.71
03/20/2023,$88.42,1081169,$87.52,$89.16,$87.33
03/17/2023,$86.52,815242,$87.25,$87.47,$86.18
03/16/2023,$86.39,873457,$84.51,$86.47,$84.21
03/15/2023,$83.74,694653,$83.40,$83.76,$82.36
03/14/2023,$85.44,715613,$84.86,$85.44,$84.58
03/13/2023,$85.56,798520,$85.02,$86.34,$84.45
