Date,Close/Last,Volume,Open,High,Low
05/03/2023,$30.79,8755286,$30.08,$31.155,$29.95
05/02/2023,$29.96,6812067,$30.55,$30.59,$29.61
05/01/2023,$30.59,7183314,$30.29,$30.675,$30.09
04/28/2023,$30.29,10931230,$29.88,$30.51,$29.61
04/27/2023,$29.88,23080980,$29.50,$30.035,$28.81
04/26/2023,$30.90,6638105,$31.17,$31.735,$30.87
04/25/2023,$31.29,4956042,$31.83,$31.9981,$31.105
04/24/2023,$32.16,4586504,$32.26,$32.47,$31.705
04/21/2023,$32.15,4329548,$32.32,$32.46,$31.91
04/20/2023,$32.21,5003142,$32.27,$32.675,$32.07
04/19/2023,$32.45,6395246,$31.86,$32.64,$31.78
04/18/2023,$32.06,21631440,$32.60,$32.66,$31.05
04/17/2023,$32.31,4447597,$31.82,$32.37,$31.68
04/14/2023,$31.67,6606192,$32.29,$32.40,$31.48
04/13/2023,$32.21,8621406,$32.66,$32.68,$31.70
04/12/2023,$32.24,12377210,$32.50,$32.59,$31.305
04/11/2023,$32.71,6179548,$32.25,$32.94,$32.062
04/10/2023,$32.17,4487436,$31.46,$32.185,$31.39
04/06/2023,$31.59,2979659,$31.77,$31.835,$31.36
04/05/2023,$31.58,4196393,$31.40,$31.61,$31.10
04/04/2023,$31.72,4715468,$31.96,$32.03,$31.295
04/03/2023,$31.69,6081292,$32.07,$32.33,$31.64
03/31/2023,$32.54,5193365,$32.165,$32.57,$32.0712
03/30/2023,$31.82,5097091,$31.80,$32.165,$31.7399
03/29/2023,$31.44,4730910,$31.00,$31.45,$30.87
03/28/2023,$30.63,4056310,$30.15,$30.705,$30.14
03/27/2023,$30.15,5115911,$30.11,$30.37,$29.81
03/24/2023,$29.63,6314770,$29.29,$29.69,$28.95
03/23/2023,$29.62,4993295,$30.34,$30.50,$29.30
03/22/2023,$30.08,5687079,$31.14,$31.34,$30.065
03/21/2023,$31.04,6676803,$30.54,$31.165,$30.37
03/20/2023,$30.08,5734121,$30.00,$30.38,$29.85
03/17/2023,$30.03,7742692,$30.22,$30.40,$29.73
03/16/2023,$30.48,9483408,$29.57,$30.59,$29.425
03/15/2023,$29.73,12768800,$29.925,$30.30,$29.41
03/14/2023,$30.53,15128580,$31.59,$31.895,$30.12
03/13/2023,$31.06,12035950,$32.15,$32.32,$30.98
03/10/2023,$32.77,13423390,$32.85,$33.03,$32.015
03/09/2023,$33.08,8594117,$33.89,$34.38,$32.805
03/08/2023,$33.90,5850398,$33.45,$33.92,$33.39
03/07/2023,$33.37,7739335,$33.65,$34.0999,$33.30
03/06/2023,$33.76,5682233,$34.28,$34.48,$33.605
03/03/2023,$34.18,3871900,$34.20,$34.46,$33.9018
03/02/2023,$33.92,3937818,$33.40,$33.93,$33.325
03/01/2023,$33.65,3639475,$33.55,$33.8407,$33.44
02/28/2023,$33.58,5244357,$33.58,$33.965,$33.34
02/27/2023,$33.54,4815313,$34.00,$34.12,$33.495
02/24/2023,$33.57,5343016,$33.15,$33.61,$33.03
02/23/2023,$33.64,6215050,$33.78,$33.92,$33.38
02/22/2023,$33.60,5611155,$33.68,$34.00,$33.35
02/21/2023,$33.76,6613341,$34.83,$34.965,$33.60
02/17/2023,$35.36,4250781,$35.33,$35.48,$34.99
02/16/2023,$35.41,5566928,$35.40,$35.49,$34.88
02/15/2023,$35.72,5126348,$35.15,$35.85,$35.05
02/14/2023,$35.51,5334904,$35.08,$35.655,$34.77
02/13/2023,$35.07,3686016,$34.57,$35.20,$34.48
02/10/2023,$34.57,4808682,$34.50,$34.74,$34.13
02/09/2023,$34.85,5911447,$35.49,$35.84,$34.83
02/08/2023,$35.30,5488951,$35.93,$36.09,$35.29
02/07/2023,$36.19,5404912,$35.90,$36.395,$35.57
02/06/2023,$36.02,4388662,$36.00,$36.355,$35.84
02/03/2023,$36.35,4831073,$36.39,$36.78,$36.29
02/02/2023,$36.82,9675851,$35.70,$37.31,$35.5265
02/01/2023,$35.63,9279059,$35.50,$36.13,$35.15
01/31/2023,$35.77,5602209,$35.59,$36.07,$35.495
01/30/2023,$35.47,6983030,$36.00,$36.885,$35.44
01/27/2023,$36.24,8196549,$35.48,$36.395,$35.45
01/26/2023,$35.70,16712040,$36.00,$36.35,$34.82
01/25/2023,$36.87,6402617,$36.42,$36.90,$36.2617
01/24/2023,$36.68,3900312,$38.53,$38.53,$36.42
01/23/2023,$36.69,6098559,$37.14,$37.20,$36.53
01/20/2023,$37.06,5247658,$36.82,$37.11,$36.45
