Date,Close/Last,Volume,Open,High,Low
05/03/2023,$3.43,5636074,$3.49,$3.54,$3.37
05/02/2023,$3.44,5283201,$3.53,$3.56,$3.37
05/01/2023,$3.57,5472204,$3.59,$3.73,$3.49
04/28/2023,$3.64,5260610,$3.46,$3.64,$3.425
04/27/2023,$3.51,7476315,$3.30,$3.53,$3.2923
04/26/2023,$3.19,9354885,$3.26,$3.355,$3.08
04/25/2023,$3.16,10239300,$3.37,$3.37,$3.10
04/24/2023,$3.44,4844780,$3.51,$3.5783,$3.37
04/21/2023,$3.51,6087798,$3.56,$3.64,$3.45
04/20/2023,$3.58,9526929,$3.56,$3.76,$3.47
04/19/2023,$3.61,5152819,$3.47,$3.68,$3.42
04/18/2023,$3.53,7009256,$3.45,$3.585,$3.38
04/17/2023,$3.47,6254806,$3.38,$3.505,$3.33
04/14/2023,$3.33,6270225,$3.41,$3.45,$3.20
04/13/2023,$3.45,7055903,$3.35,$3.48,$3.30
04/12/2023,$3.27,8366677,$3.60,$3.68,$3.25
04/11/2023,$3.58,10080960,$3.45,$3.615,$3.44
04/10/2023,$3.46,13654260,$3.10,$3.51,$3.09
04/06/2023,$3.15,13672140,$3.14,$3.19,$2.98
04/05/2023,$3.19,11393520,$3.38,$3.45,$3.12
04/04/2023,$3.43,20661230,$3.73,$3.75,$3.33
04/03/2023,$3.88,9871183,$4.03,$4.09,$3.73
03/31/2023,$4.05,8364709,$3.96,$4.17,$3.92
03/30/2023,$4.06,8197151,$4.10,$4.2499,$4.02
03/29/2023,$4.04,5544391,$3.93,$4.05,$3.865
03/28/2023,$3.90,6937554,$4.04,$4.09,$3.815
03/27/2023,$4.06,5396604,$4.11,$4.13,$3.945
03/24/2023,$4.10,5215551,$3.96,$4.127,$3.9281
03/23/2023,$4.03,8997599,$3.99,$4.22,$3.94
03/22/2023,$3.91,8822695,$4.18,$4.232,$3.89
03/21/2023,$4.12,7727199,$4.20,$4.27,$4.07
03/20/2023,$4.10,6039761,$4.12,$4.22,$4.045
03/17/2023,$4.16,11203280,$4.56,$4.56,$4.12
03/16/2023,$4.59,11315250,$4.50,$4.66,$4.22
03/15/2023,$4.63,9286162,$4.91,$4.91,$4.53
03/14/2023,$5.00,5673844,$5.20,$5.25,$4.92
03/13/2023,$5.08,7759658,$4.85,$5.24,$4.76
03/10/2023,$4.98,8709396,$5.08,$5.175,$4.81
03/09/2023,$5.10,7161981,$5.45,$5.57,$5.08
03/08/2023,$5.41,5426836,$5.28,$5.47,$5.20
03/07/2023,$5.31,6220768,$5.33,$5.52,$5.19
03/06/2023,$5.41,7699815,$5.58,$5.80,$5.32
03/03/2023,$5.50,11241950,$5.13,$5.55,$4.99
